experiment,total_experiment_dir_mb,file,file_name,file_size_bytes,file_size_mb
cora_b6_query_combined,74.0159,/tmp/mdb_cora_b6_query_combined/gnn_features/cora_query_combined_features_zscore_reordered.fmat,cora_query_combined_features_zscore_reordered.fmat,15587312,14.8652
cora_b6_query_combined,74.0159,/tmp/mdb_cora_b6_query_combined/gnn_features/cora_query_combined_features_zscore_cpu_cache.bin,cora_query_combined_features_zscore_cpu_cache.bin,14386976,13.7205
cora_b6_query_combined,74.0159,/tmp/mdb_cora_b6_query_combined/gnn_features/cora_query_combined_features_zscore_gpu_cache.bin,cora_query_combined_features_zscore_gpu_cache.bin,32,0.0
cora_b6_query_combined,74.0159,/tmp/mdb_cora_b6_query_combined/gnn_features/cora_query_combined_features_zscore.rmap.idx,cora_query_combined_features_zscore.rmap.idx,43352,0.0413
cora_b6_query_combined,74.0159,/tmp/mdb_cora_b6_query_combined/gnn_features/cora_query_combined_features_zscore.rmap,cora_query_combined_features_zscore.rmap,21680,0.0207
cora_b6_query_combined,74.0159,/tmp/mdb_cora_b6_query_combined/gnn_features/cora_query_combined_features_zscore.fmat,cora_query_combined_features_zscore.fmat,15587312,14.8652
cora_b6_query_combined,74.0159,/tmp/mdb_cora_b6_query_combined/gnn_features/node_features.rmap.idx,node_features.rmap.idx,43352,0.0413
cora_b6_query_combined,74.0159,/tmp/mdb_cora_b6_query_combined/gnn_features/node_features.rmap,node_features.rmap,21680,0.0207
cora_b6_query_combined,74.0159,/tmp/mdb_cora_b6_query_combined/gnn_features/node_features.fmat,node_features.fmat,15522320,14.8032
cora_b6_query_rich,6.1039,/tmp/mdb_cora_b6_query_rich/gnn_features/cora_query_rich_features_zscore_store.fp,cora_query_rich_features_zscore_store.fp,24,0.0
cora_b6_query_rich,6.1039,/tmp/mdb_cora_b6_query_rich/gnn_features/cora_query_rich_features_zscore_store.meta,cora_query_rich_features_zscore_store.meta,312,0.0003
cora_b6_query_rich,6.1039,/tmp/mdb_cora_b6_query_rich/gnn_features/cora_query_rich_features_zscore_reordered.rmap.idx,cora_query_rich_features_zscore_reordered.rmap.idx,43352,0.0413
cora_b6_query_rich,6.1039,/tmp/mdb_cora_b6_query_rich/gnn_features/cora_query_rich_features_zscore_reordered.rmap,cora_query_rich_features_zscore_reordered.rmap,21680,0.0207
cora_b6_query_rich,6.1039,/tmp/mdb_cora_b6_query_rich/gnn_features/cora_query_rich_features_zscore_reordered.fmat,cora_query_rich_features_zscore_reordered.fmat,65056,0.062
cora_b6_query_rich,6.1039,/tmp/mdb_cora_b6_query_rich/gnn_features/cora_query_rich_features_zscore_cpu_cache.bin,cora_query_rich_features_zscore_cpu_cache.bin,79904,0.0762
cora_b6_query_rich,6.1039,/tmp/mdb_cora_b6_query_rich/gnn_features/cora_query_rich_features_zscore_gpu_cache.bin,cora_query_rich_features_zscore_gpu_cache.bin,32,0.0
cora_b6_query_rich,6.1039,/tmp/mdb_cora_b6_query_rich/gnn_features/cora_query_rich_features_zscore.rmap.idx,cora_query_rich_features_zscore.rmap.idx,43352,0.0413
cora_b6_query_rich,6.1039,/tmp/mdb_cora_b6_query_rich/gnn_features/cora_query_rich_features_zscore.rmap,cora_query_rich_features_zscore.rmap,21680,0.0207
cora_b6_query_rich,6.1039,/tmp/mdb_cora_b6_query_rich/gnn_features/cora_query_rich_features_zscore.fmat,cora_query_rich_features_zscore.fmat,65056,0.062
cora_original,58.9284,/tmp/mdb_cora_original/gnn_features/node_features_store.fp,node_features_store.fp,24,0.0
cora_original,58.9284,/tmp/mdb_cora_original/gnn_features/node_features_store.meta,node_features_store.meta,312,0.0003
cora_original,58.9284,/tmp/mdb_cora_original/gnn_features/node_features_reordered.rmap.idx,node_features_reordered.rmap.idx,43352,0.0413
cora_original,58.9284,/tmp/mdb_cora_original/gnn_features/node_features_reordered.rmap,node_features_reordered.rmap,21680,0.0207
cora_original,58.9284,/tmp/mdb_cora_original/gnn_features/node_features_reordered.fmat,node_features_reordered.fmat,15522320,14.8032
cora_original,58.9284,/tmp/mdb_cora_original/gnn_features/node_features_cpu_cache.bin,node_features_cpu_cache.bin,14327072,13.6634
cora_original,58.9284,/tmp/mdb_cora_original/gnn_features/node_features_gpu_cache.bin,node_features_gpu_cache.bin,32,0.0
cora_original,58.9284,/tmp/mdb_cora_original/gnn_features/node_features.rmap.idx,node_features.rmap.idx,43352,0.0413
cora_original,58.9284,/tmp/mdb_cora_original/gnn_features/node_features.rmap,node_features.rmap,21680,0.0207
cora_original,58.9284,/tmp/mdb_cora_original/gnn_features/node_features.fmat,node_features.fmat,15522320,14.8032
